Sku,Count
BLA-000207-0804,0
BLA-000207-1306,0
BLA-000208-0107,257
BLA-000208-1302,0
BLA-000208-2102,333
BLA-000208-2604,239
BLA-000209-0107,3
BLA-000209-0202,167
BLA-000209-1504,243
BLA-000210-0107,0
BLA-000210-1302,0
BLA-000210-1502,0
BLA-000211-0101,0
BLA-000211-1212,0
BLA-000211-2702,0
BLA-000212-0502,0
BLA-000212-2311,0
BLA-000213-0101,0
BLA-000213-0702,0
BLA-000213-2402,7
BLA-000213-2904,0
BLA-000214-0707,128
BLA-000214-2704,167
BLA-000214-2706,316
BLA-000215-0707,231
BLA-000215-2704,209
BLA-000215-2706,304
BLA-000216-2901,0
BLA-000216-2904,0
BLA-000217-2901,110
BLA-000217-2904,56
BLA-000217-2906,81
BLA-000218-2309,0
BLA-000218-2901,0
BLA-000218-2904,1
BLA-000219-2901,87
BLA-000219-2904,0
BLA-000220-0501,176
BLA-000220-2901,0
BLA-000220-2904,37
BLA-000221-0507,1
BLA-000221-2901,232
BLA-000221-2904,116
BLA-000222-0101,195
BLA-000222-0404,46
BLA-000222-1306,0
BLA-000222-2102,0
BLA-000222-2404,0
BLA-000223-0107,0
BLA-000223-1307,1
BLA-000224-0107,4
BLA-000224-0404,109
BLA-000224-1304,0
BLA-000225-0101,7
BLA-000225-0404,0
BLA-000225-1307,10
BLA-000226-0107,1221
BLA-000226-2302,57
BLA-000226-2904,1883
BLA-000226-2906,116
BLA-000227-0701,0
BLA-000227-2302,212
BLA-000227-2904,38
BLA-000228-0701,106
BLA-000228-2904,237
BLA-000229-0701,254
BLA-000229-2904,60
BLA-000229-2906,305
BLA-000230-1201,256
BLA-000230-2904,50
BLA-000230-2906,292
BLA-000231-2302,271
BLA-000231-2901,105
BLA-000231-2904,65
BLA-000232-0101,0
BLA-000232-0202,130
BLA-000232-0404,0
BLA-000233-0101,0
BLA-000233-1304,8
BLA-000233-2404,9
BLA-000234-0101,0
BLA-000234-1304,64
BLA-000234-2404,243
BLA-000235-0101,6
BLA-000235-1304,78
BLA-000235-2404,358
BLA-000236-0101,0
BLA-000236-1304,157
BLA-000237-0504,0
BLA-000237-0701,0
BLA-000237-2906,0
BLA-000238-0104,0
BLA-000238-0502,0
BLA-000238-0506,0
BLA-000239-0706,0
BLA-000239-1201,12
BLA-000240-0101,99
BLA-000240-0404,321
BLA-000241-1207,0
BLA-000241-2904,0
BLA-000241-2906,0
BLA-000242-0101,0
BLA-000242-0202,68
BLA-000242-0404,0
BLA-000242-2104,0
BLA-000243-0101,98
BLA-000243-0404,187
BLA-000243-2404,245
BLA-000244-0101,114
BLA-000244-0404,340
BLA-000245-2901,991
BLA-000245-2904,652
BLA-000245-2906,0
BLA-000246-0107,0
BLA-000246-2904,0
BLA-000246-2906,0
BLA-000247-0501,27
BLA-000247-2304,219
BLA-000247-2904,0
BLA-000247-2907,253
BLA-000248-0101,0
BLA-000248-0404,0
BLA-000249-0504,346
BLA-000249-0702,411
BLA-000249-1206,0
BLA-000250-0101,0
BLA-000250-1202,46
BLA-000250-2904,34
BLA-000251-0101,0
BLA-000251-0507,7
BLA-000251-2904,0
BLA-000252-0702,0
BLA-000252-2904,213
BLA-000252-2910,0
BLA-000253-0101,843
BLA-000253-0808,0
BLA-000253-2404,17
BLA-000254-0101,0
BLA-000254-0202,11
BLA-000254-2104,0
